"RFP_WaterID","X2015_Stocked","GIS_Key","WaterName","SectionNumber","waterid","surveyid","lat","long","SurveyDate","Rivermile","length","width","species","sizebin","catch","DeadOrMarkedCapture","EffortNumber","EstimateType","SiteEffortHours","gear","surveypurpose","date","year"
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",25,3,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",50,16,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",75,2,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",100,23,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",125,30,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",150,15,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",175,4,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",200,2,"NULL",1,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",25,0,"NULL",2,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
110,"No","110-1","Amos Branch",1,231,48459,41.235278,-78.034444,"7/21/1997",0.85,300,2.7,"Brook Trout",50,7,"NULL",2,"Zippen 3 Pass Removel",0.475,"Electrobackpack","Fish - Population Estimate Absolute Abundance Indices",1997-07-21,1997
